Review,Food & Drinks Quality & Price,"General (Ambience, Entertainment, & Experience)",Service
Great food and service. Love the atmosphere and the quality of the food. We had the spaghetti and the cacio e pepe. and had 3 desserts. All fantastic!,Good,Good,Good
"Amazing food and amazing environment. We got three pastas, each amazing in their own way. I loved the Cacio e Pepe and couldn’t be happier with that decision.",Good,Good,
"Excellent food and service. Authentic Italian! They not only offer delicious pasta ‘al dente’ but also a good variety of seafood. 
Danilo’s service was great!!",Good,,Good
"If you are looking for the best Italian restaurant in NY, go to small kitchen, top food, top staff (Gabriele the super friendly and professional Sicilian), before you go book your seat.",Good,,Good
"excellent place and excellent service especially with the Sicilian waiter Gabriele, I recommend it to everyone.🔝🔝",,Good,Good
I found myself having lunch with my wife in this wonderful place and I can say that I was served some really excellent dishes . I want to congratulate Gabriele really a guy full of expertise in the management of servizio.Ci tornarò.consigli highly.,Good,Good,Good
"Danilo was such a great waiter, the service was amazing, and he was very nice to all of us! Also, the space is incredibly special!!",,Good,Good
This place is amazing! Great food and we were so nicely treated. Danilo was our waiter and he was amazing! We totally recommend the place.,Good,Good,Good
"Beautiful restaurant and excellent lunch with real Italian cuisine, fantastic service Gabriele the Sicilian boy who was really kind and quick",Good,Good,Good
"Came here for dinner with friends & it was amazing — the tagliatelle was our favorite, and the cannolis were the best we’ve ever had!! Fun atmosphere and great service",Good,Good,Good
".Worst service possible
We made a reservation a long time ago and waited more than 30 minutes fir our table. The ""manager"" started tk scream on us!
I told her that we are on tine and the restaurant must be on time as well.
We are customers of this resraurant for more than 8 years and never had been treated like that.",,,Bad
"We really enjoyed our experience. They have an extensive wine list and they also offer beer and spritzes. We shared a few appetizers. The Burrata was our favorite.  I had the pasta special of the day, it was out of this world!  Carbonara with pumpkin and truffle!  The restaurant is tiny and packed, so be prepared. The staff are extremely gracious and kind.",Good,Good,Good
"Small and well-kept restaurant (book in advance to reserve the table): the menu is typical Italian and of excellent quality! The staff is very friendly and helpful in meeting various requests. Average price for NYC. Recommended if after so much junk food you want to savor a bit of ""home flavors"".",Good,,Good
"Great! Excellent service, delicious food. Angelo was great! 
We ordered the octopus and arancini! 💕 
Really good. Cozy environment",Good,Good,Good
we stumbled upon this place and immediately knew it was going to be good because it was PACKED. they got us a table right away even though we didn’t have a reservation. the staff was so nice and also nice to look at. food was amazing. wine was amazing. they even took us down to see the wine cellar after our meal. i never really wrote reviews but was so impressed with this place i just had to. highly recommend!,Good,,Good
"The table was also small and I didn't have any plates I asked for!
There's nothing delicious about it!
The arancini is only big and the cheese is barely melted! Flit mist stinks.
The Pro shot was only salty, and the pasta was still normal, but that was it.",Bad,Bad,Bad
"Had a last night splurge at this lovely Italian restaurant. When a place is packed out with locals at 6pm you know it's going to be a winner! It's not cheap, but then nothing in New York is! Food was delicious, service and atmosphere both excellent. Oh, and the portions were very good too, unlike a lot of other places in New York.",Good,Good,Good
A great restaurant with very Good. Nice and dedicated staff. Book in advance because there are many who want to eat there. A special thanks to Angelo for nice chat about Italy and nice reception.,Good,Good,Good
The food was excellent. The staff was so attentive. Daniello recommended the lemon cheesecake absolutely outstanding! We had to try the cannoli. The cream comes from Italy. You won’t find better anywhere! Top notch.,Good,,Good
"Tasty food, good mood 
In crowded restaurant in so ho 


Very skilled competent servant Danilo 👍
Super god service 
Can warmly recommend",Good,Good,Good
"Piccola Cucina Estiatorio is a true gem in SoHo! The cozy atmosphere and warm hospitality make you feel right at home. The food is outstanding—grilled octopus and homemade pasta with sea urchin were absolute perfection. Every dish is fresh, flavorful, and beautifully presented.


The staff is attentive, adding to the overall wonderful experience. For authentic Mediterranean cuisine, this place is a must-visit in New York. Highly recommend!",Good,Good,Good
"Super Italian dinner in New York!
If you are looking for Italian flavors here you are in the right place!
Mixed fried appetizer (squid & vegetables) fennel and orange salad great! First tops! Homemade Bucatini cheese and pepper, Tagliatelle with bacon and truffle sauce, trofie, gnocchi, pappardelle all delicious!
Cut with grilled vegetables, too good! 
Well what about we went out (7 people) all satisfied!
Then very kind service and Danilo was very good at giving us all his attention throughout the evening!
The coffee as good as in the bar in Italy!
Thank you very much for the cannoli offered!
A nice memory of New York!",Good,,Good
I went to celebrate my birthday and was very well served. The environment is pleasant and the food delicious. I will definitely be back.,Good,Good,Good
"Wonderful place, fantastic food and spectacular service, especially from Danilo who was super attentive. I highly recommend.",Good,Good,Good
"Mr. Denver, from Senegal, was very kind to me, and the Recommendations were excellent pasta with lobster and shrimp.",Good,,Good
"Food and service was absolutely amazing! Asked waiter for both food and wine recommendations, Danielo (our waiter) was so helpful and guided us in the right direction. All of our food and wine was amazing. Very memorable night in NYC, coming from NYC residents!",Good,Good,Good
"Small kitchen is always a guarantee for Italians is foreigners. The restaurant, typical Sicilian, offers high quality dishes, from appetizers to desserts.
We obviously, as true Messina doc as Gioele, ordered the macaroni alla norma and pappardelle with porcini mushrooms. 
Staff very attentive to the customer, very good!
See you soon
Simona and Pasquale",Good,,Good
"“Danilo” has turned this culinary highlight into a real experience. 
The service was exceptionally good.
The food was very tasty, as with Nonna!!!",Good,Good,Good
"Great food, great service, great wines and a cozy setting. Must visit in New York! We will definitely be back!",Good,Good,Good
"Belisimo! 
The place is amazing! The food is so unique and absolute delicious. The people are so nice. Angelo really helped us, he was so amazing and nice and I really enjoyed eating dinner here!!!
 I totally recommend this place :-)",Good,Good,Good
"We had a lovely dinner with a delicious wine our wonderful server Hector recommended. He went above and beyond in terms of service, friendliness and recommendations! We will definitely be returning.",Good,Good,Good
"Hector was an AMAZING server!!! he was so kind, thoughtful, and very communicative. HE DESERVES A RAISE!!!! You should ask for hector because he is an amazing server.",,,Good
"Extraordinary service, all the staff very attentive and friendly. The food was delicious, the pasta fresh and exquisite, the wine wonderful and all crowned by the attention of Elideth. She made our last night in NY the best. Highly recommend the place and the atmosphere",Good,Good,Good
"This place is great. Delicious food and very nice and professional crew! 
I’m italian and it feels good to know there is restaurant like this one that serve REAL and GOOD italian food.
Keep it up! 
Cannoli are amazing there",Good,Good,Good
"Good Italian restaurant in Soho district. Nothing to say, the dishes were good and the service pleasant in a nice setting. Awards in line with what we are used to seeing in New York. An address that I recommend",Good,Good,Good
"Amazing food & service. Very authentic Italian, definitely recommend, Pablo is great! I will definitely come back!!!",Good,,Good
"I’ve been several times in Italy and I may say this Italian restaurant would be in my top 3. Excellent food, excellent service and more than reasonable price for NYC",Good,,Good
"A great spot to grab dinner! The place was packed on a Friday night and even though we had 9pm reservations, it still took us a bit to get seated. I could understand why once we had gotten our meals because the food is so delicious. We ordered the Arancini for our app, and the Gnocchi and Bucatini as our entrees and the Affogato and Gelati for desert and everything was beautifully presented and delicious. The arancini was heavier than we expected and ended up not quite being able to finish our pasta, but so glad we saved space for desert because the hazelnut gelato was the highlight. They also have an extensive wine list and nice options even if you just want a glass. The ambiance is so inviting and at one point the staff even started singing and dancing to the Italian music. It was such a fun night and the food will definitely have us coming back!",Good,Good,Good
"The vibe was cozy, and the staff made me feel right at home. The seafood pasta was seriously next level, so fresh and full of flavor. Loved the outdoor seating too—perfect spot for a nice evening. Portions were generous, and everything tasted authentic. Definitely a must-visit if you're into Mediterranean food!",Good,Good,Good
"I recently dined at Picola Cucina on Thompson St, and it was an exceptional experience from start to finish. The food was absolutely delicious. However, what truly made the night unforgettable was the impeccable service. Danilo, our server, was by far the best I’ve encountered in New York. His attention to detail, warm personality, and genuine care for our dining experience went above and beyond. great food and world-class service thanks to Danilo!",Good,Good,Good
"Cute place in Soho in the heart of Manhattan, a small corner where you can breathe Italy both at the table, excellent pasta, and with the super friendly staff, along with its Sicilian owner.",Good,Good,Good
"The place is small, but it lacks nothing! As Italians, after 5 days in the Big Apple we wanted some Italian cuisine and we found this gem!
Hearty and tasty dishes and a convivial atmosphere that reminds us how great it is to be Italian! Recommended!",Good,Good,
"Cozy place with very kind and helpful staff, especially the Italian girl Matilda always smiling, courteous and attentive. Very Good..to try!!",Good,Good,Good
"It is the fourth time we come, we always had a great time! EXCELLENT food (and super portions), from appetizer to dessert, congratulations to the chef.",Good,Good,
"Could not recommend this place more!! The food was incredible (carpaccio trio was to die for ) the ambiance so nice, but best of all was the service! If all of the staff were incredible attentive and thoughtful, especially Danilo!",Good,Good,Good
Family birthday celebration. First class service. Food was fresh and tasted really amazing. Thank you. We will be back very soon.,Good,,Good
"I and my wife had an extraordinary food experience. The calamari and the 3 shells course were simply superb. The environment is a bit noisy, but the service was excellent.",Good,Bad,Good
"Excellent Italian cuisine, atmosphere and equally excellent staff. Very good Italian guy who comes from Turin.",Good,Good,Good
"A very good dining experience at this small restaurant. Both lasagne, pasta with mushrooms and dessert was heavenly! Pretty much noise, but pleasantly local and the service was service-set.  Here it was tasty so you have to reserve in advance. The toilet is also worth a visit ;) The only thing we have to postpone on the visit was the price of the water. We ordered 2 water bottles and it cost 200 kr. I think it was a bit expensive.",,,Good
"Small restaurant (reserved in time), soft lighting and well furnished. Stratospheric food, grilled squid with guacamole sauce and delicious carasau bread, grandmother's lasagna like at home. Very nice staff, super recommended.",Good,Good,Good
"Excellent service and food. Cosy environment with delishious Italian food. A must visit in Soho... Food, drink and desserts at excellent quantity and taste.",Good,Good,Good
"The food of the place is a 10/10 , amazing, and the special attention of the Danilo and Matilda 
They make the experience unforgettable...! 
Thank you very much from the heart",Good,Good,Good
"Chosen this restaurant thanks to the great reviews. I can only confirm what has been reviewed. Everything perfect! Great food, three amazing shellfish paccheri. Cheese and pepper paste like in Rome!!! Try it!",Good,,
"Best seafood pasta, even had a whole lobster in it, definitely the place to visit when in manhattan, highly recommend for seafood lovers",Good,,
"The grilled mixed fish dish was beautifully presented in a copper tray with a delicious assortment of fish. Our first time in Nee York and this place did not disappoint! We received 2 complimentary cannolis at the end of our meal. Service and food were excellent! Our waiter,Danilo was helpful and attentive. The vibe was great too!",Good,Good,Good
"Super cozy well-managed spot, great food and excellent service- Gabriele guided us in selecting our meal, wine, and even our dessert.  This was the charming restaurant experience of days past. So happy to have decided to try iy. We'll be back, along with many other happy guests it appears !",Good,Good,Good
"Very nice and welcoming place, with Italian music from the 70s/80s. The staff is friendly and the food is great, quality. A must try!",Good,Good,Good
"My friend and I were looking for a nice Italian restaurant to go to for her birthday. We picked Piccola Cucina honestly at random, so we didn’t have any prior opinions before going in. Our dinner was absolutely delicious, the atmosphere was very cozy and comfortable. And above all, our waiters and the staff were phenomenal. So kind and thoughtful. They made my friend’s birthday extremely special, and it is a night we will remember fondly for ever.",Good,Good,Good
"Consistently delicious, classic Sicilian dishes. We stop every time we are in NYC!  Seafood is fresh and pasta sauces are perfectly meaty and savory.",Good,,
"The place is not big, but it is furnished in a nice and nice way that makes the atmosphere welcoming and familiar. Il
Menu is Italian, even the simple pasta with tomato sauce is excellent (it seems easy to make it good but it is not true at all!). The staff is friendly and helpful. Absolutely recommended",Good,Good,Good
Amazing place! Excellent service and service! The spectacular food!!! Various options a la carte and specialties! In Soho!,Good,Good,Good
Amazing experience. The best pasta in NYC and great service with a very kind Chef. Will definitely become a regular here.,Good,Good,Good
"A restaurant of 10. The wonderful food, made us remember our trip to Sicily.All the super friendly staff.Thank you Pablo and Joel for your attention and kindness.
Now we will have to try your restaurant in Ibiza!!!",Good,Good,Good
Typical Italian food abundant in quantity and quality. It takes you to Italy very well. The staff is excellent from both the waiters like Pablo and Chef Joel.,Good,Good,Good
Excellent raw seafood tower and amazing cooked pasta! Like being in Italy! The fish is super-fresh and the dessert are also delicious!,Good,,
"Very rich restaurant, we ordered delicious arancini and then we shared a Branzino that was exquisite, and some gnochiis with artichoke
The waiter Angelo was very friendly throughout and gave us a service of 100
Thank you very much",Good,,Good
"We heard about this restaurant from a travel advice website. Every dish we tried was delicious. One of the best restaurants I’ve ever been to. The hostess sat us right away even though we had no reservations. The service was great, especially Mateo and Carlos. Good job, guys!",Good,,Good
"I’m not a big fan of Italian, but I’m a big fan of Piccola Cucina. The food and service were amazing. Carlos and Mateo were great.",Good,,Good
"This restaurant exceeded my expectations. I am so glad I ordered what my wonderful waiter, Angelo, recommended. It was a pasta dish with eggplant and tomato sauce — delicious and perfectly paired with a Chianti Classico. He also very kindly answered my questions about Sicily and Italy. Highly recommend!",Good,,Good
"This spot is a fantastic restaurant with exceptional meals and wonderful staff, in particular Pablo. He served us wonderfully.",Good,Good,Good
"You could so easily walk past this gem
We had a variety of dishes all very tasty. 
Excellent service by friendly staff
Unpretentious but excellent food",Good,,Good
"English:
The best restaurant I have ever tried in NYC. Authentic flavors and top-quality ingredients. Among the raw dishes, I highly recommend the tuna tartare, and for the first courses, the trofie with squid ragù are delicious. The desserts are also excellent: the cannoli seem to come directly from Sicily. The service is impeccable, always attentive and courteous.


Italian:
Best restaurant I've ever tried in NYC. Dishes with authentic flavors and raw materials of the highest quality. Among the raw, I highly Recommendation the tuna tartare, while among the first the trofie with squid sauce are delicious. The desserts are also excellent: the cannoli seem to come straight from Sicily. The service is impeccable, always attentive and courteous.",Good,,Good
"Local small and cozy. All very good, the pasta excellent. Even desserts. Very welcoming and helpful staff.",Good,Good,Good
"Very Good! Dessert was great too! Only we were looked away. Everything came very quickly, waitresses were running and we got our ticket when it wasn't asked. Getting as many customers in as little time as possible ruins the atmosphere. We felt hunted down.",Good,Bad,Good
"A real authentic Sicilian meal. Served with heart by Danilo. Salads, artichoke carbonara, pasta con Ricci. Even loved the mini canolis  All excellent. Highly recommend!",Good,,Good
"It is not easy to find good places to eat well, but this is even higher than my expectations, so much so that, with my son in our week in NY, we went there 2 times!
Whether they are first or second courses of meat or fish, we really ate well.
The staff is Italian, but also foreign (Spanish and English), very careful in waiting tables. I recommend, on Saturdays, to go after 9:30..... but go there that you are certainly not wrong.",Good,,Good
"I am (was) not even a big fan of italian food, but this restaurant redefines the standards. For reference, I have been this week in Michelin starred restaurants across NYC. This is genuinely much better. Quality of ingredient is the highest I've tried in USA. Cooking is impressively top level. Wine list is the best I have seen in NYC: lots of regions, years and styles for sparkling, white and red. I had lunch and will come back for dinner. Simply the best I have tried in NYC, from all food styles. Congratulations. I will come here every time I will be in NYC.",Good,,
"I booked but I arrived earlier and they could anticipate my accommodation. Traditional Sicilian food. Nice place and well decorated. Small, so t recommend booking. Dishes on average $25, honest price for what it offers. I ordered an ossobuco ravioli with lemon sauce and a dessert tiramissu, plus a truly Italian espresso, which is hard to find in US. I loved the experience and would definitely come back!",Good,Good,
I'm going to enjoy the dinner the service and the cuisine that the chef offers a very nice experience I recommend very strongly,Good,Good,Good
"We LOVE this place!!  This is a must visit if you want a true dining experience!! The staff is amazing!  We love Anna and Linda!  The wine list is extensive!   The menu has so many delicious choices.  We love everything we have had here!  Especially the Caponata!! AND there's the dance party!!  Wow, what fun!  The whole evening felt like we had been invited to a friends house for wine and dinner!  We can't wait for our next visit to the city so we can eat with our new friends again!",Good,Good,Good
The food was amazing and the service was even better.  Danilo made us feel so special.  I cannot recommend this restaurant enough!!!  What an unforgettable experience.  Thank you Danilo!,Good,Good,Good
"Amazing dinner in New York!!
The fish is very good!!!
Grazie Danilo!!! I suggest very much this place to everyone! Great Italian music",Good,Good,Good
Booked this spot on Open Table and they were so accomodating for a last minute reservation. Had been recommended this restaurant by a friend and can vouch that this is by far the best authentic Italian restaurant I’ve been to in the city. Carlos was our server and was phenomenal. A hidden gem in Soho. 12/10 recommend!,Good,Good,Good
"Great Food, Service, and Staff.  Our server Carlos did not disappoint us at all. I recommend visiting this restaurant as it is worth the experience.",Good,Good,Good
"the waiter was absolutely wonderful. i mentioned that we were there for my friends bday and the whole restaurant chimed in to sing - it was awesome!
thank u sooo much for a wonderful experience. food was amazing too!",Good,Good,Good
"Very pleasant atmosphere, friendly staff, always with a smile on their faces, as well as delicious food....a corner of Italy in the heart of the Big Apple",Good,Good,Good
very good restaurant it was. I really enjoy in this rastaurant.It was great experience for me. Hopefully i will came in this rastaurant in future.,,Good,
"Delicious food, pleasant atmosphere, kind and friendly service and the price is affordable, worth every penny! Excellent experience!",Good,Good,Good
"Very nice place,simple but elegant,our family enjoy here and the foods here are great and delicious .I will definitely be back here.",Good,Good,
The restaurant was really excellent. The servers were really very nice and pleasant. The service was great. And the food truly worthy of an Italian restaurant. The products were fresh and quality. I completely recommend!,Good,Good,Good
"Fantastic food, all surrounded by Italian music that really makes you feel at home. We had the pleasure of exchanging a few words with Gioele, a very competent person in his work and friendly like all his staff. Well done",Good,Good,Good
"Danilo our waiter was very knowledgeable! We got the rib special, and tuna crudo. Would definitely come back! Excellent wine",Good,Good,Good
"Great spaghetti Bolognese!!!
You have ask for the chilly flakes on top
Enjoy ! Had lunch with some friends , very recommended,",Good,,
"I took my husband here for dinner for his birthday while in NYC after seeing it was rated so highly on Trip Advisor - what a disappointment.


The food was average at best - very salty and rather sad. And the noise! We gave up trying to talk to each other in the end and had to communicate with our waitress by writing things down! Tables are super close together and the lack of walkway between them meant we were constantly bumped and jostled. 


Staff were smile but harassed as they weee obviously told to turn tables as fast as possible. We weren’t even asked if we’d like a second glass of wine - probably because we’d have lingered too long.


The food itself was mediocre at best - pasta was ok but super salty and the seafood we both chose was tired and “woolly”.. We didn’t have time for a dessert as they wanted us off the table - or that’s how it felt.


Despite mentioning my husband’s birthday on the booking, no effort was made to celebrate it. And less an hour and a half after arriving we were back on the street, £220 poorer and with ringing ears.  All in all a very disappointing experience - I can’t believe this is the best Manhattan has to offer.",Bad,Bad,Bad
"My daughter and I made a lunch reservation here while visiting NYC. We were not disappointed! We made a reservation for an outdoor table and fortunately they were able to accommodate. Outdoor seating is limited, with perhaps four tables seating two persons each. The tables are well shaded with umbrellas for warmer days. The indoor seating was plentiful! 


Our waitress was amazing, and brought samples of wine prior to ordering….she also suggested wines based on our orders. Service was prompt, and our entrees came out quickly.


The menu is expansive with something to please every palate. They also offer lunch specials daily. There are pastas, meat dishes, as well as seafood dishes. We were very satisfied with our choices of pasta with red sauce and the other in white sauce! We did not order dessert, but the cannoli, crepe brûlée, and tiramisu looked fabulous! 


We did not feel rushed, and were allowed to linger over our wine until we asked for our check! 


Definitely make a stop here down if in the SoHo vicinity!",Good,Good,Good
Very charmig place in the mid of Soho. The  service was excellent and kind and the pasta delicious. We got a table outside which was perfect that sunny evening.,Good,Good,Good
"As Italians who know Good, Piccola Cucina exceeded our expectations. The fritto misto was perfectly crispy, the lasagne were rich and comforting, and the paccheri with squid were a highlight with its fresh, tender squid and al dente pasta.
Desserts were a delight: the tiramisu was light and flavorful, and the complimentary cannoli had a perfect crunchy shell and creamy filling. Piccola Cucina offers authentic Sicilian flavors with exceptional quality and passion. A must-visit for true Italian cuisine lovers!",Good,,
Great spot. had an enjoyable experience. I really like the food here. I would recommend the food and if you're in town stop by,Good,Good,
"Very nice ambience, very Good. Make sure you follow the recommendations of the day! Waiters are very friendly and accommodating. Definitely recommended for Italian food.",Good,Good,Good
"Everything was wonderful the waiter Angelo was superb and gorgeous speak Italian, English and Spanish hello!!! We will definitely be back this summer",Good,Good,Good
I came here for a casual bite and it was perfectly palette satisfying. Great service and delicious! The open feeling of the restaurant and bar area make it feel very spacious in a sometimes suffocating metropolis. Highly recommend!,Good,Good,Good
Had a wonderful authentic Italian lunch.  I arrived to a warm welcome and could choose my table outside which was great to watch the world go by.  The beets/nut salad was tasty and was followed by a dish of fresh melt in the mouth tomato spaghetti - the staff were happy and attentive.  Will definitely be back with my family next time.,Good,Good,Good
"Very nice and welcoming restaurant and super helpful staff! We ate starter, first course and dessert and it was like being in Italy!",Good,Good,Good
"Very welcoming place, very kind waiters and excellent food. 
Abundant servings and everything of high quality.
Truly Italian cuisine.
Highly recommended",Good,Good,Good
"The dishes are very tasty and delicious and the service is amazing! The atmosphere is really cozy and the decor is really cute, makes me think of the restaurants back home in Italy!",Good,Good,Good
Amazing dinner… the taste of the food was really exceptional! Great job and we will come back soon!!! I strongly recommend it.,Good,Good,Good
"We love this restaurant. Delicious food and best value for money. We were very well attended to by Danilo, very attentive and kind. 
All delicious dishes.",Good,,Good
"Such a great place, amazing food and the attention was exceptional. We felt like we were in Italy!!!! 😍😍😍😍😍😍😍😍",Good,Good,Good
"Good flavors too...but you can't see the frozen pasta! An insult to Italian cuisine.
Good prices, Italian music and ok staff.",Good,Good,Good
We had a wonderful meal and were very lucky to have Angelo as our waiter . He took great care of us and it heightened the first experience. A destination worth noting and visiting!,Good,Good,Good
"Waoo! The friendliness of the staff never ceases to amaze me! It's definitely my favorite place! Thanks chef Ricky, Zumba! And to everyone who works there for making this a wonderful night! The food was perfect as always and without a doubt with the best wine recommendations for your pasta or appetizer!",Good,Good,Good
"Absolutely wonderful. One of the best meals I have ever had. Wonderful service from Danilo, incredible antipasti (try the ceviche!) and perfect pasta. Whole family had an incredible experience. Worthy ranking",Good,Good,Good
"very nice place, small but delicious, family dinner we had a great time, good dishes and generous portions, thanks to Mattia, a very knowledgeable waiter",Good,Good,Good
"Excellent cuisine, all very good and fast service, excellent Italian hospitality. Impeccable and kind service, Mattia a top waiter... highly recommended",Good,Good,Good
"Everything delicious, fantastic staff and welcoming atmosphere! Mattia was an exceptional waiter! We will be back soon",Good,Good,Good
"We had a fabulous dinner at Piccola Cucina Estiatorio.  Everything about our experience - the atmosphere, the food and the service -- was great.  Piccola Cucina is the prefect combination of typical New York and typical Italian - in the best sense of each.  The restaurant is a quintessential New York neighborhood place with a great vibe.  The menu, focusing on Sicilian, is varied and creative, and the food is outstanding.  Kudos to our server, Hector - he was very friendly, had great menu recommendations, made us feel at home and made our entire dining experience special.  We would highly recommend Piccola Cucina Estiatorio!",Good,Good,Good
"Came here with my parents while visiting New York. The food was absolutely amazing! The service staff was helpful and friendly, especially our server Angelo!",Good,,Good
Excellent place and atmosphere! Hector service is 1000% from his food suggestions and kind approach will definitely make me come back and hav him suggest what to eat for dinner lol!! Great place super recommended. Ask for hector and tell him Anet says hi!!,,Good,Good
"Super friendly services! To me, the pasta was mid at a price point of $24. the dessert however is actually pretty good! It is not too sweet, and mixture of ice cream and apple pie is very smooth and subtle. I likey, probably will only go back there for desserts. However, it is worth notice that almost all desserts are at a fixed price around $14 each.",,,Good
"Amazing dinner, amazing vibe and amazing waiter!! Ector made our dinner special with his kindness and attention. The service was just perfect even though the restaurant was packed on a Friday evening. Had paccheri with seafood, highly recommended. 
There is a special Italian vibe that just makes the atmosphere perfect!",Good,Good,Good
"Ector is the best waiter you could have. Super, convivial place, it feels like we feel at home. I ate very well and I say this as an Italian",Good,Good,Good
Amazing food! Great ambiance number one restaurant in the city for sure! Every dish is perfect so whenever you arrive to nyc come!,Good,Good,
"This  place is our favorite place in the city! The food is always fantastic, the service is excellent. Our server Synthia was kind, courteous and simply fenomenal. 
If you are looking for an authentic Italian food, this place is a must!",Good,Good,Good
"One of the best restaurants to enjoy an authentic Italian food. Our server, Hector, was excellent, great recommendations and very pleasant Joel was behind the absolutely best lasagna we ever tasted, seafood pasta was a must try! Been to New York many times and we just discovered it! Would highly recommend!",Good,Good,Good
"The food is amazing. We ate the tomato soup recommended by Héctor (our waiter 🙌🏻) and it was really good, same as the spiral pasta with truffle. We will definitely come back. Great service too!",Good,Good,Good
"We had the most delicious meal with cousins from Italy. Everything we had was cooked to perfection. Parmigiana, Wild Boar meatballs, the Piccola Cucina salad, Rigatoni with pesto, Tagliatelle with wild boar sauce, ravioli and all of the desserts. The service was impeccable. The wine list is very extensive. We had 2 great bottles of Etna Rossa. I can’t wait to go back!!",Good,Good,Good
We had dinner at this small but cute restaurant. The first courses were plentiful and delicious. Finally some Italian quality! Compliments to the friendly chef!,Good,Good,Good
