Review,Food & Drinks Quality & Price,"General (Ambience, Entertainment, & Experience)",Service
danilo great waiter service amazing nice we also space incredibly special,,Good,Good
place amazing great food nicely treat danilo waiter amazing totally recommend place,Good,Good,Good
beautiful restaurant excellent lunch real italian cuisine fantastic service gabriele sicilian boy really kind quick,Good,Good,Good
come dinner friend amazing tagliatelle favorite cannoli well ever fun atmosphere great service,Good,Good,Good
bad service possible make reservation long time ago wait 30 minute fir table manager start tk scream we tell tine restaurant must time well customer resraurant 8 year never treat like,,,Bad
really enjoy experience extensive wine list also offer beer spritz share appetizer burrata favorite pasta special day world carbonara pumpkin truffle restaurant tiny pack prepare staff extremely gracious kind,Good,Good,Good
small well keep restaurant book advance reserve table menu typical italian excellent quality staff friendly helpful meeting various request average price nyc recommend much junk food want savor bit home flavor,Good,,Good
great excellent service delicious food angelo great order octopus arancini really good cozy environment,Good,Good,Good
stumble upon place immediately know go good packed get we table right away even though reservation staff nice also nice look food amazing wine amazing even take we see wine cellar meal never really write review impress place highly recommend,Good,,Good
table also small plate ask nothing delicious arancini big cheese barely melt flit mist stink pro shoot salty pasta still normal,Bad,Bad,Bad
last night splurge lovely italian restaurant place pack local 6 pm know go winner cheap nothing new york food delicious service atmosphere excellent oh portion good unlike lot place new york,Good,Good,Good
great restaurant good nice dedicated staff book advance many want eat special thank angelo nice chat italy nice reception,Good,Good,Good
food excellent staff attentive daniello recommend lemon cheesecake absolutely outstanding try cannoli cream come italy find well anywhere top notch,Good,,Good
tasty food good mood crowd restaurant ho skilled competent servant danilo super god service warmly recommend,Good,Good,Good
piccola cucina estiatorio true gem soho cozy atmosphere warm hospitality make feel right home food outstanding grill octopus homemade pasta sea urchin absolute perfection every dish fresh flavorful beautifully present staff attentive add overall wonderful experience authentic mediterranean cuisine place must visit new york highly recommend,Good,Good,Good
super italian dinner new york look italian flavor right place mix fry appetizer squid vegetable fennel orange salad great first top homemade bucatini cheese pepper tagliatelle bacon truffle sauce trofie gnocchi pappardelle delicious cut grill vegetable good well go 7 people satisfied kind service danilo good give we attention throughout evening coffee good bar italy thank much cannoli offer nice memory new york,Good,,Good
go celebrate birthday well serve environment pleasant food delicious definitely back,Good,Good,Good
wonderful place fantastic food spectacular service especially danilo super attentive highly recommend,Good,Good,Good
mr denver senegal kind recommendation excellent pasta lobster shrimp,Good,,Good
food service absolutely amazing ask waiter food wine recommendation danielo waiter helpful guide we right direction food wine amazing memorable night nyc come nyc resident,Good,Good,Good
small kitchen always guarantee italian foreigner restaurant typical sicilian offer high quality dish appetizer dessert obviously true messina doc gioele order macaroni alla norma pappardelle porcini mushrooms staff attentive customer good see soon simona pasquale,Good,,Good
danilo turn culinary highlight real experience service exceptionally good food tasty nonna,Good,Good,Good
great food great service great wine cozy setting must visit new york definitely back,Good,Good,Good
belisimo place amazing food unique absolute delicious people nice angelo really help we amazing nice really enjoy eat dinner totally recommend place,Good,Good,Good
lovely dinner delicious wine wonderful server hector recommended go beyond term service friendliness recommendation definitely return,Good,Good,Good
hector amazing server kind thoughtful communicative deserve raise ask hector amazing server,,,Good
extraordinary service staff attentive friendly food delicious pasta fresh exquisite wine wonderful crown attention elideth make last night ny best highly recommend place atmosphere,Good,Good,Good
place great delicious food nice professional crew italian feel good know restaurant like one serve real good italian food keep cannoli amazing,Good,Good,Good
good italian restaurant soho district nothing say dish good service pleasant nice setting award line use see new york address recommend,Good,Good,Good
amazing food service authentic italian definitely recommend pablo great definitely come back,Good,,Good
several time italy may say italian restaurant would top 3 excellent food excellent service reasonable price nyc,Good,,Good
great spot grab dinner place pack friday night even though 9 pm reservation still take we bit get seat could understand get meal food delicious order arancini app gnocchi bucatini entree affogato gelati desert everything beautifully present delicious arancini heavy expect end quite able finish pasta glad save space desert hazelnut gelato highlight also extensive wine list nice option even want glass ambiance invite one point staff even start singe dance italian music fun night food definitely we come back,Good,Good,Good
vibe cozy staff make feel right home seafood pasta seriously next level fresh full flavor love outdoor seating perfect spot nice evening portion generous everything taste authentic definitely must visit mediterranean food,Good,Good,Good
recently dine picola cucina thompson st exceptional experience start finish food absolutely delicious however truly make night unforgettable impeccable service danilo server far well encounter new york attention detail warm personality genuine care dining experience go beyond great food world class service thank danilo,Good,Good,Good
cute place soho heart manhattan small corner breathe italy table excellent pasta super friendly staff along sicilian owner,Good,Good,Good
place small lack nothing italian 5 day big apple want italian cuisine find gem hearty tasty dish convivial atmosphere remind we great italian recommend,Good,Good,
cozy place kind helpful staff especially italian girl matilda always smile courteous attentive good try,Good,Good,Good
fourth time come always great time excellent food super portion appetizer dessert congratulation chef,Good,Good,
could recommend place food incredible carpaccio trio die ambiance nice good service staff incredible attentive thoughtful especially danilo,Good,Good,Good
family birthday celebration first class service food fresh taste really amazing thank back soon,Good,,Good
wife extraordinary food experience calamari 3 shell course simply superb environment bit noisy service excellent,Good,Bad,Good
excellent italian cuisine atmosphere equally excellent staff good italian guy come turin,Good,Good,Good
good dining experience small restaurant lasagne pasta mushroom dessert heavenly pretty much noise pleasantly local service service set tasty reserve advance toilet also worth visit thing postpone visit price water order 2 water bottle cost 200 kr think bit expensive,,,Good
small restaurant reserve time soft lighting well furnish stratospheric food grill squid guacamole sauce delicious carasau bread grandmother lasagna like home nice staff super recommend,Good,Good,Good
excellent service food cosy environment delishious italian food must visit soho food drink dessert excellent quantity taste,Good,Good,Good
food place 10 10 amazing special attention danilo matilda make experience unforgettable thank much heart,Good,Good,Good
choose restaurant thank great review confirm review everything perfect great food three amazing shellfish paccheri cheese pepper paste like rome try,Good,,
good seafood pasta even whole lobster definitely place visit manhattan highly recommend seafood lover,Good,,
grill mixed fish dish beautifully present copper tray delicious assortment fish first time nee york place disappoint receive 2 complimentary cannoli end meal service food excellent waiter danilo helpful attentive vibe great,Good,Good,Good
super cozy well manage spot great food excellent service gabriele guide we select meal wine even dessert charming restaurant experience day past happy decide try iy back along many happy guest appear,Good,Good,Good
nice welcome place italian music 70 80 staff friendly food great quality must try,Good,Good,Good
friend look nice italian restaurant go birthday pick piccola cucina honestly random prior opinion go dinner absolutely delicious atmosphere cozy comfortable waiter staff phenomenal kind thoughtful make friend birthday extremely special night remember fondly ever,Good,Good,Good
consistently delicious classic sicilian dish stop every time nyc seafood fresh pasta sauce perfectly meaty savory,Good,,
place big furnish nice nice way make atmosphere welcome familiar il menu italian even simple pasta tomato sauce excellent seem easy make good true staff friendly helpful absolutely recommend,Good,Good,Good
amazing place excellent service service spectacular food various option la carte specialty soho,Good,Good,Good
amazing experience good pasta nyc great service kind chef definitely become regular,Good,Good,Good
restaurant 10 wonderful food make we remember trip sicily super friendly staff thank pablo joel attention kindness try restaurant ibiza,Good,Good,Good
typical italian food abundant quantity quality take italy well staff excellent waiter like pablo chef joel,Good,Good,Good
excellent raw seafood tower amazing cook pasta like italy fish super fresh dessert also delicious,Good,,
rich restaurant order delicious arancini share branzino exquisite gnochiis artichoke waiter angelo friendly throughout give we service 100 thank much,Good,,Good
hear restaurant travel advice website every dish try delicious one good restaurant ever hostess sit we right away even though reservation service great especially mateo carlos good job guy,Good,,Good
big fan italian big fan piccola cucina food service amazing carlos mateo great,Good,,Good
restaurant exceed expectation glad order wonderful waiter angelo recommend pasta dish eggplant tomato sauce delicious perfectly pair chianti classico also kindly answer question sicily italy highly recommend,Good,,Good
spot fantastic restaurant exceptional meal wonderful staff particular pablo serve we wonderfully,Good,Good,Good
could easily walk past gem variety dish tasty excellent service friendly staff unpretentious excellent food,Good,,Good
english good restaurant ever try nyc authentic flavor top quality ingredient among raw dish highly recommend tuna tartare first course trofie squid ragù delicious dessert also excellent cannoli seem come directly sicily service impeccable always attentive courteous italian good restaurant ever try nyc dish authentic flavor raw material high quality among raw highly recommendation tuna tartare among first trofie squid sauce delicious dessert also excellent cannoli seem come straight sicily service impeccable always attentive courteous,Good,,Good
local small cozy good pasta excellent even dessert welcome helpful staff,Good,Good,Good
good dessert great look away everything come quickly waitress run get ticket ask get many customer little time possible ruin atmosphere feel hunt,Good,Bad,Good
real authentic sicilian meal serve heart danilo salad artichoke carbonara pasta con ricci even love mini canoli excellent highly recommend,Good,,Good
easy find good place eat well even high expectation much son week ny go 2 time whether first second course meat fish really eat well staff italian also foreign spanish english careful waiting table recommend saturday go 9 30 go certainly wrong,Good,,Good
even big fan italian food restaurant redefine standard reference week michelin star restaurant across nyc genuinely much well quality ingredient highest try usa cook impressively top level wine list well see nyc lot region year style sparkle white red lunch come back dinner simply well try nyc food style congratulation come every time nyc,Good,,
booked arrive early could anticipate accommodation traditional sicilian food nice place well decorate small recommend book dish average 25 honest price offer order ossobuco ravioli lemon sauce dessert tiramissu plus truly italian espresso hard find we love experience would definitely come back,Good,Good,
go enjoy dinner service cuisine chef offer nice experience recommend strongly,Good,Good,Good
love place must visit want true dining experience staff amazing love anna linda wine list extensive menu many delicious choice love everything especially caponata dance party wow fun whole evening feel like invite friend house wine dinner wait next visit city eat new friend,Good,Good,Good
food amazing service even well danilo make we feel special can not recommend restaurant enough unforgettable experience thank danilo,Good,Good,Good
amazing dinner new york fish good grazie danilo suggest much place everyone great italian music,Good,Good,Good
book spot open table accomodate last minute reservation recommend restaurant friend vouch far good authentic italian restaurant city carlos server phenomenal hide gem soho 12 10 recommend,Good,Good,Good
great food service staff server carlos disappoint we recommend visit restaurant worth experience,Good,Good,Good
waiter absolutely wonderful mention friend bday whole restaurant chime se awesome thank u sooo much wonderful experience food amazing,Good,Good,Good
pleasant atmosphere friendly staff always smile face well delicious food corner italy heart big apple,Good,Good,Good
good restaurant really enjoy rastaurant great experience hopefully come rastaurant future,,Good,
delicious food pleasant atmosphere kind friendly service price affordable worth every penny excellent experience,Good,Good,Good
nice place simple elegant family enjoy food great delicious definitely back,Good,Good,
restaurant really excellent server really nice pleasant service great food truly worthy italian restaurant product fresh quality completely recommend,Good,Good,Good
fantastic food surround italian music really make feel home pleasure exchange word gioele competent person work friendly like staff well do,Good,Good,Good
danilo waiter knowledgeable get rib special tuna crudo would definitely come back excellent wine,Good,Good,Good
great spaghetti bolognese ask chilly flake top enjoy lunch friend recommend,Good,,
take husband dinner birthday nyc see rate highly trip advisor disappointment food average good salty rather sad noise give try talk end communicate waitress write thing table super close together lack walkway meant constantly bump jostled staff smile harass weee obviously tell turn table fast possible even ask like second glass wine probably linger long food mediocre good pasta ok super salty seafood choose tired woolly time dessert want we table feel despite mention husband birthday booking effort make celebrate less hour half arrive back street 220 poorer ringing ear disappointing experience believe good manhattan offer,Bad,Bad,Bad
daughter make lunch reservation visit nyc disappointed make reservation outdoor table fortunately able accommodate outdoor seating limit perhaps four table seat two person table well shade umbrella warm day indoor seating plentiful waitress amazing bring sample wine prior ordering also suggest wine base order service prompt entree come quickly menu expansive something please every palate also offer lunch special daily pasta meat dish well seafood dish satisfy choice pasta red sauce white sauce order dessert cannoli crepe brûlée tiramisu look fabulous feel rush allow linger wine ask check definitely make stop soho vicinity,Good,Good,Good
charmig place mid soho service excellent kind pasta delicious get table outside perfect sunny evening,Good,Good,Good
italian know good piccola cucina exceed expectation fritto misto perfectly crispy lasagne rich comfort paccheri squid highlight fresh tender squid al dente pasta dessert delight tiramisu light flavorful complimentary cannoli perfect crunchy shell creamy fill piccola cucina offer authentic sicilian flavor exceptional quality passion must visit true italian cuisine lover,Good,,
great spot enjoyable experience really like food would recommend food town stop,Good,Good,
nice ambience good make sure follow recommendation day waiter friendly accommodate definitely recommend italian food,Good,Good,Good
everything wonderful waiter angelo superb gorgeous speak italian english spanish hello definitely back summer,Good,Good,Good
come casual bite perfectly palette satisfy great service delicious open feeling restaurant bar area make feel spacious sometimes suffocate metropolis highly recommend,Good,Good,Good
wonderful authentic italian lunch arrive warm welcome could choose table outside great watch world go beet nut salad tasty follow dish fresh melt mouth tomato spaghetti staff happy attentive definitely back family next time,Good,Good,Good
nice welcome restaurant super helpful staff eat starter first course dessert like italy,Good,Good,Good
welcome place kind waiter excellent food abundant serving everything high quality truly italian cuisine highly recommend,Good,Good,Good
dish tasty delicious service amazing atmosphere really cozy decor really cute make think restaurant back home italy,Good,Good,Good
amazing dinner taste food really exceptional great job come back soon strongly recommend,Good,Good,Good
love restaurant delicious food good value money well attend danilo attentive kind delicious dish,Good,,Good
great place amazing food attention exceptional feel like italy,Good,Good,Good
good flavor see frozen pasta insult italian cuisine good price italian music ok staff,Good,Good,Good
wonderful meal lucky angelo waiter take great care we heighten first experience destination worth note visit,Good,Good,Good
waoo friendliness staff never cease amaze definitely favorite place thank chef ricky zumba everyone work make wonderful night food perfect always without doubt good wine recommendation pasta appetizer,Good,Good,Good
absolutely wonderful one good meal ever wonderful service danilo incredible antipasti try ceviche perfect pasta whole family incredible experience worthy ranking,Good,Good,Good
nice place small delicious family dinner great time good dish generous portion thank mattia knowledgeable waiter,Good,Good,Good
excellent cuisine good fast service excellent italian hospitality impeccable kind service mattia top waiter highly recommend,Good,Good,Good
everything delicious fantastic staff welcome atmosphere mattia exceptional waiter back soon,Good,Good,Good
fabulous dinner piccola cucina estiatorio everything experience atmosphere food service great piccola cucina prefect combination typical new york typical italian good sense restaurant quintessential new york neighborhood place great vibe menu focus sicilian varied creative food outstanding kudo server hector friendly great menu recommendation make we feel home make entire dining experience special would highly recommend piccola cucina estiatorio,Good,Good,Good
come parent visit new york food absolutely amazing service staff helpful friendly especially server angelo,Good,,Good
excellent place atmosphere hector service 1000 food suggestion kind approach definitely make come back hav suggest eat dinner lol great place super recommend ask hector tell anet say hi,,Good,Good
super friendly service pasta mid price point 24 dessert however actually pretty good sweet mixture ice cream apple pie smooth subtle likey probably go back dessert however worth notice almost dessert fix price around 14,,,Good
amazing dinner amazing vibe amazing waiter ector make dinner special kindness attention service perfect even though restaurant pack friday evening paccheri seafood highly recommend special italian vibe make atmosphere perfect,Good,Good,Good
ector good waiter could super convivial place feel like feel home eat well say italian,Good,Good,Good
amazing food great ambiance number one restaurant city sure every dish perfect whenever arrive nyc come,Good,Good,
place favorite place city food always fantastic service excellent server synthia kind courteous simply fenomenal look authentic italian food place must,Good,Good,Good
one good restaurant enjoy authentic italian food server hector excellent great recommendation pleasant joel behind absolutely well lasagna ever taste seafood pasta must try new york many time discover would highly recommend,Good,Good,Good
food amazing eat tomato soup recommend héctor waiter really good spiral pasta truffle definitely come back great service,Good,Good,Good
delicious meal cousin italy everything cook perfection parmigiana wild boar meatballs piccola cucina salad rigatoni pesto tagliatelle wild boar sauce ravioli dessert service impeccable wine list extensive 2 great bottle etna rossa wait go back,Good,Good,Good
dinner small cute restaurant first course plentiful delicious finally italian quality compliment friendly chef,Good,Good,Good
good restaurant ny love italian food like choose well place eat pasta day pistachio cream prawn feel like home excellent,Good,Good,
want eat italian food good place authentic taste beautiful dish composition good price really good quality definitely come back,Good,Good,
good pasta town food amazing danilo incredible 10 10 make reservation go,Good,Good,Good
excellent food amazing italian experience starter pasta delicious last least love cannoli miss,Good,Good,
spot perfect miss italy want good good italian place city real italian food highly recommend,Good,Good,
good italian restaurant nyc amazing staff feel like italy food great must cannoli lunch time perfect love work school,Good,Good,Good
wonder restaurant 1 2 nyc lunch one dinner one italian food absolutely amazing comparable high end italian food italy,Good,,
daniel nice waiter food delicious place nice italian pasta mast try one lobster tiramisu dessert amazing delicious dinner thank,Good,,Good
restaurant book france read comment trip advisor everything delicious quality product nice place professional welcome staff,Good,Good,Good
go friend birthday dinner service food good give cannoli house also great,Good,,Good
good italian food new york city extremely friendly staff atmosphere immaculate must city probably well italian we,Good,Good,Good
amazing food great service gabriel super friendly introduce menu food we patiently come back,Good,,Good
stop quick lunch attentive service almost restaurant visit waiter recommend nice white italian wine per spec broad diverse menu outstanding dish love greek salad grill calamari milanese style cutlet chicken good one waiter amazing several wait staff seem work concert we empty dish quickly disappear next course quickly reappear efficient one friendly wait staff food experience good eat lunch 3 day row,Good,Good,Good
never write review restaurant necessary exceptional chef gioele together staff,Good,Good,Good
walk street new york come across wonderful restaurant city 3 day always come eat fantastic cuisine say least kind staff great chef,Good,Good,Good
dinner small really small place great friendliness waiter particular iacopo cheerful nice guy way also sebastiano manager good plentiful dish recommend book place always queue,Good,,Good
small restaurant could noisy food service marvelous go enjoy soho vibe sicilian taste,Good,Bad,Good
excellent cuisine various italian specialty pappardelle porcini mushroom excellent special thank gioele hospitality make we feel like home,Good,,Good
piccola cucina teach beautiful authentically delicious italian cuisine lot love deep respect ingredient chef cook bravissimo thank,Good,,
amazing food great service eggplant die branzino tartare incredible service top notch pablo know menu like palm hand must visit ever new york,Good,Good,Good
2018 place never disappointment server gianluca friendly welcome definitely recommend,,,Good
great late dinner family amazing pasta dish great price friendly service would recommend,Good,Good,Good
nice lunch beautiful tiny restaurant pasta salad good try staff nice well,Good,Good,Good
characteristic location truly italian food spectacular typical sicilian dessert friendly smile staff italian coffee,Good,Good,Good
hector friendly waiter food delicious always highly recommend anyone city check,Good,,Good
fantastic experience legitimately italian dish pasta make order service exceptional staff grateful extremely attentive great attention danilo serve we michelan quality congratulation fantastic restaurant,Good,Good,Good
experience simply incredible cozy place service exceptional danilo serve we great friendliness politeness food impeccable everything score 1000,Good,Good,Good
amazing place chef come greet group also amazing food vibe restaurant great worker nice,Good,Good,Good
good italian restaurant n town food delicious authentic look gorgeous service staff nice friendly offer drink accord main course absolutely incredible place cheap every penny worth think need try place,Good,Good,Good
take mom dinner amazing food bite lien symphony danilo amazing server say fry calamari ever worth every bite thank,Good,,Good
great lunch sicilian friend try appetizer amazing pasta la norma staff nice helfpful chef great make sure everything like real sicilian food,Good,,Good
amazing restaurant good people pesto good thing ever definitely good restaurant nyc must try jar,Good,Good,Good
good italian nyc seriously good pasta get city worry wait get re,Good,,
restaurant good cannoli ver sette veli cake world burrata prosciutto also incredible pasta good waitere excellent server danilo super helpful attentive 10 10 service,Good,,Good
amazing time food delicious dessert even well good part staff server danilo incredibly helpful help we pick good item menu pleasant talk highly recommend,Good,Good,Good
great food desert ambience danielo amazing host make great recommendation overall excellent time would recommend place,Good,Good,Good
good italian city danilo totally amazing come often life allow we danilo kind attentive thank special night,,Good,Good
excellent service pleasant atmosphere real star food group eight rival good italian meal we ever enjoy include italy paccheri scampi lobster shrimp other lasagna rigatoni basil pesto sauce good wine recommendation well,Good,Good,Good
rare incomparable sicilian experience thank unforgettable experience hector absolute well,Good,Good,Good
truly incredible experience excellent quality dish aroma flavor recall true sicilian cuisine say sicilian tradition combine innovation menu proposal fabulous messina chop trofie calamari truffle sauce superb let talk cannoli obligatory stop pass new york want try top notch dinner young extremely competent staff direct great chef gioele la rosa,Good,Good,Good
love place amazing food service perfect go friend family gabriel attention superb everything amazing,Good,Good,Good
magnificent deal italian food outside classic great place special thank demba love,Good,Good,Good
excellent atmosphere amazing food well lasagna ever great selection italian wine server helpful suggestion wine,Good,Good,Good
attract excellent review possibility book online go restaurant heart soho district dinner couple expectation confirm welcome quick service well keep venue exquisite dish menu offer wide choice appetizer first course italian cuisine absolutely recommend meatball grill calamari parmigiana true delight palate slightly high price especially wine line quality restaurant offer trendy neighborhood new york final rating 10 10 good guy,Good,Good,Good
spot amazing food amazing waiter amazing highly recommend either friend business lunch,Good,Good,Good
amazing place food amazing get lunch everything super good go every week du ring work take lasagna good,Good,Good,
love place really great food great atmosphere staff extremely friendly well usually come lunch special business week recommend chicken milanese great meal,Good,Good,Good
italian restaurant downtown manhattan refine menu make feel home away home take mixed carpaccio present impeccably follow three shellfish package lot raw material equally good tasty artichoke gnocchi staff always kind accommodate special thank chef let we return italy day early,Good,,Good
husband lovely meal restaurant tagliatelle black truffle fish day excellent quaint little place great atmosphere service excellent danilo waiter attentive wine list great pricy gluten free keto diet able enjoy great meal,Good,Good,Good
greattt place delicious food incredible service love vine accompany sister excellent share appetizer two pasta portion good,Good,Good,Good
excellent attention staff friendly attentive everything good pasta milanese 100 recommend,Good,Good,Good
wife unfortunately last day trip new york must say crazy experience flavor never try even italy amazing pasta alla standard dessert fantastic tiramisu sicilian cannoli even sicily good shame meet end go every day flaw chef messinese reggino must admit time sicily win congratulation always carry authentic italian cuisine return new york next time get subscription,Good,Good,
kind friendly staff delicious food excellent quality freshly make say recommend worth go absolutely,Good,Good,Good
excellent restaurant friendly staff really good taste delicious arancini green tagliatelle wild boar ragout sicilian cannoli,Good,Good,Good
excellent restaurant point view food excellent quality everything good starter pasta finally dessert staff really kind friendly 100 recommend,Good,Good,Good
lasagna branzino amazing pablo host incredible job make sure table everything need,Good,,Good
great food attention 10 10 whole experience amazing would definitely recommend great atmosphere come friend couple pablo amazing,Good,Good,Good
wonderful hector make lunch amazing burrata prosciutto pasta even though plate look small end completely full,Good,,Good
authentic italian food american portion great selection food wine extremely satisfied server danilo polite professional passionate would definitely come recommend friend,Good,Good,Good
go high tripadvisor rating big mistake understand eat italian food state always americanise thought due 1 rank tripadvisor would different would actually authentic sicilian place noisy loud music would never find sicily everyone dining shout really want know guy next table think great job good worker company bla bla bla food beyond disappoint nothing fresh process seafood fresh meat fresh pasta sauce highly process left dreadful aftertaste full day perhaps great place end visit yet another restaurant chain bastardise italian food amercian ise ever sicily anywhere else italy expect receive authentic italian food italy wait staff professional treat value customer seem inconvenience waiting staff racing get tip part evening get even attention without constantly tell minute several time think visit last italian restaurant state experience finish we seem trendy place see rank rather place visit good authentic food sure people see place see though surely impress guest would go place good wonder many people ever go never return also appreciate large tip option circle bill rude arrogant service food receive would prefer give service tip service dire state service tip obligatory payment reward good everywhere else world point note visit visit chain restaurant authentic sicilian osteria difficult find good italian food state,Bad,Bad,Bad
culinary trip hubby piccola cucina estiatorio first pick pasta cannoli stand favorite service great surely come back,Good,Good,Good
nice place I m enjoy staf kind always smile guest make mood well amazing,Good,Good,Good
food incredible perfect ambiance warm home feel cold winter day ask anything shoutout danny,Good,Good,Good
pretty good restaurant factory dish arrives still eat starter reservation 8 p table ready 25 min wait outside noise server look see finished recommend restaurant neither quality quantity give price,Good,Bad,Bad
great food wonderful kind staff food come quick good cacio e pepe absolutely delicious,Good,,Good
food okay expect review seafood taste fishy pasta okay staff nice service good,,,Good
wonderful place delicious food pleasant atmosphere excellent service waiter speak spanish portuguese,Good,Good,Good
go lunch worth book advance good lasagna fish eat finally ice cream coffee forgot photo,Good,Good,
pasta excellent tiramisu also great hector server attentive reasonable price,Good,,Good
food delicious restaurant well design cozy atmosphere cinzia kind helpful highly recommend,Good,Good,Good
excellent look real quality italian restaurant miss go neapolitan use good feel like eat excellent restaurant home pasta cook seasoned perfection super shellfish fusilloni spaghetti tomato also noteworthy truly superb grill sea bass good dinner nyc week vacation also highly recommend excellent quality price ratio,Good,Good,
authentic italian restaurant really enjoy tasty meal dance friendly staff cozy atmosphere make we feel comfortable thank much,Good,Good,Good
wonderful time piccola cucina good italian restaurant go nyc food absolutely amazing entire staff attentive especial regard danilo extremely kind welcome make experience even well good cannoli ever,Good,Good,Good
one good restaurant manhattan wonderful food wonderful experience cinzia nice introduce food,Good,Good,Good
food always great go place every time come nyc store thompson st today host cinzia nice knowledgeable food wine place never disappoint must check,Good,Good,Good
good pasta nyc danilo waiterand give we detail food dessert kindly price fair,Good,,Good
excellent atmosphere delicious food order ravioli green tagliatelle fair price excellent service danilo calm polite good tip make reservation advance popular restaurant leave warm heart amidst hustle bustle ny definitely back,Good,Good,Good
everything great great service everyone general pablo particular pleasure return opportunity,Good,Good,Good
italian new york miss go place make feel like back italy excellent service extremely good,Good,Good,Good
dinner piccola cucina estiatorio great amazing cannoli superb service danilo definitely come back future,Good,Good,Good
great danilo excelent help rigth course food amazing dessert delicious price ok place really small well book,Good,,Good
place great food vibe delicious every day menu item particular special amazing definitely continue come back,Good,Good,
italian restaurant make feel home atmosphere food authentic everything good one favorite,Good,Good,
clean charming close great soho shopping staff kind welcome food great depth flavor definitely recommend really good food warm ambience,Good,Good,Good
great food great service food primarily sicilian well like seafood even find something beautiful eat restaurant small densely pack ambiance excellent staff attentive everything fresh prepared perfection portion large highly recommend,Good,,Good
beautiful italian spot authentic food vibe entire staff professional waiter mattia beyond generous kind accommodate whatever pay well double honey gem human,Good,Good,Good
food amazing service great food come warm delicious would come back thank,Good,,Good
excellent atmosphere food truly haute cuisine without austerity service provide martinez kind friendly efficient speak portuguese,Good,Good,Good
good authentic italian food nyc warm environment true italian family vibe come italian,Good,Good,
recommend friend thoroughly enjoy cute cosy atmosphere excellent food definitely get lobster croquettes cinzia lovely host also fabulous absolute must soho,Good,Good,Good
service good food great recommend place whoever love pasta highly recommend tirmosu,Good,,Good
